,OverallQual,GrLivArea,GarageCars,ExterQual,GarageArea,BsmtQual,TotalBsmtSF,1stFlrSF,KitchenQual,FullBath,GarageFinish,TotRmsAbvGrd,YearBuilt,YearRemodAdd,MasVnrArea,SalePrice
432,4,1365,2,3,440,3,765,765,3,1,2,6,1971,1971,376.0,122500
433,5,1604,2,3,470,2,926,926,3,2,0,7,1997,1998,0.0,181000
434,3,630,0,3,0,2,630,630,3,1,3,3,1972,1972,0.0,81000
435,6,1661,2,2,550,2,799,827,2,2,1,6,1996,1996,0.0,212000
436,5,1118,2,3,440,1,648,734,3,1,2,6,1920,1950,0.0,116000
437,5,904,1,2,180,3,884,904,3,1,2,4,1926,2004,0.0,119000
438,4,694,1,3,352,3,440,694,2,1,2,4,1913,2002,0.0,90350
439,5,1196,2,3,528,3,684,684,2,1,2,7,1920,2000,0.0,110000
441,3,1440,0,3,0,3,1440,1440,1,2,3,8,1955,1955,270.0,118000
442,4,1573,2,3,360,3,1078,1128,3,2,2,8,1930,1992,0.0,162900
444,6,1908,2,2,493,2,915,933,2,2,2,8,1994,1995,0.0,210000
445,5,1689,2,3,480,3,1436,1689,3,1,2,7,1956,1956,0.0,127500
446,5,1888,2,2,578,3,1517,1888,2,2,0,6,1966,2002,0.0,190000
447,6,1886,2,2,431,2,930,956,2,2,0,10,1998,1999,0.0,199900
448,5,1376,1,3,198,3,780,780,3,2,2,7,1937,1950,0.0,119500
449,2,1183,1,3,308,3,649,679,3,1,2,6,1948,2002,0.0,120000
450,5,813,1,3,270,3,813,813,2,1,2,5,1930,2005,0.0,110000
451,6,1533,2,3,576,2,1533,1533,2,2,2,5,1975,1975,0.0,280000
453,7,1590,2,2,676,2,768,786,2,2,1,6,2008,2008,0.0,210000
454,4,1728,2,3,560,3,1728,1728,3,2,2,8,1976,1976,0.0,188000
455,6,1242,2,3,528,3,1242,1242,3,1,2,6,1973,1973,320.0,175500
456,4,1344,3,3,513,3,624,624,3,1,2,7,1916,1950,0.0,98000
457,3,1663,2,3,529,2,1364,1663,2,1,0,6,1954,1994,0.0,256000
458,7,1666,1,3,228,3,588,833,2,1,2,7,1925,1996,0.0,161000
459,4,1203,1,3,352,3,709,979,2,1,2,5,1950,1950,161.0,110000
460,7,1935,2,2,552,2,832,832,3,2,0,8,2009,2009,110.0,263435
461,6,1135,2,2,576,2,560,575,2,1,1,6,1936,2007,0.0,155000
462,4,864,1,3,360,3,864,864,3,1,2,5,1965,1965,0.0,62383
463,5,1660,1,3,240,3,715,849,3,1,2,6,1934,1995,0.0,188700
464,4,1040,0,3,0,2,1040,1040,3,2,3,5,1978,1978,136.0,124000
465,6,1414,2,2,398,2,1375,1414,2,2,0,6,2004,2004,18.0,178740
466,6,1277,2,3,526,3,1277,1277,3,1,2,5,1970,1970,0.0,167000
467,4,1644,1,3,312,3,728,888,2,1,2,7,1942,1995,224.0,146500
468,7,1634,3,2,866,2,1626,1634,2,2,1,7,2006,2006,248.0,250000
469,5,1710,2,2,506,2,832,832,2,2,1,7,1993,1993,120.0,187000
470,7,1502,2,2,528,2,1488,1502,2,1,1,4,1985,1985,0.0,212000
471,6,1969,2,3,534,2,808,1161,3,2,1,8,1977,1977,0.0,190000
472,5,1072,2,3,525,2,547,1072,3,1,1,5,2005,2005,80.0,148000
475,4,970,2,3,624,3,970,970,3,1,2,5,1963,1963,0.0,132500
476,5,1493,2,3,508,2,1478,1493,2,2,0,7,1997,1998,215.0,208900
484,4,999,1,3,264,3,999,999,2,1,2,6,1962,2001,0.0,132500
485,4,1113,1,2,264,3,1113,1113,2,1,2,5,1950,2007,0.0,147000
486,4,1073,2,3,515,3,1073,1073,3,1,1,6,1965,1965,168.0,156000
487,4,1484,2,3,487,2,1484,1484,3,2,2,7,1971,1971,0.0,175000
488,4,2414,2,3,520,3,954,1766,3,2,2,10,1900,1970,0.0,160000
489,3,630,1,3,286,2,630,630,2,1,2,3,1970,2002,0.0,86000
490,4,1304,1,3,336,2,264,616,3,1,0,4,1976,1976,0.0,115000
491,5,1578,1,3,240,3,806,958,1,1,2,5,1941,1950,0.0,133000
492,5,1456,2,2,429,2,728,728,3,2,1,8,2006,2006,0.0,172785
493,4,1269,1,3,308,3,1269,1269,3,1,2,6,1960,1960,0.0,155000
494,4,886,1,3,273,1,190,886,3,1,2,4,1938,1996,0.0,91300
495,3,720,0,3,0,3,720,720,3,1,3,4,1920,1950,0.0,34900
497,6,1820,1,3,240,3,1026,1133,3,2,2,8,1925,1950,0.0,184000
498,4,899,1,3,288,3,864,899,2,1,0,5,1967,2004,89.0,130000
499,4,912,1,3,297,3,912,912,3,1,0,5,1958,1985,0.0,120000
500,5,1218,1,3,264,3,672,672,3,1,2,7,1973,1973,285.0,113000
501,6,1768,2,2,603,2,866,866,2,2,1,7,2005,2005,0.0,226700
502,4,1214,2,3,461,3,1214,1214,3,1,2,6,1965,1965,0.0,140000
503,6,1801,2,3,484,3,1501,1801,3,2,0,6,1959,1997,0.0,289000
504,5,1322,2,3,440,3,855,855,3,2,2,6,1974,1974,0.0,147000
505,4,1960,2,3,400,3,960,960,3,2,2,10,1952,1952,360.0,124500
506,7,1911,2,2,471,2,777,1065,2,2,1,8,1993,1994,125.0,215000
507,5,1218,2,2,676,2,1218,1218,2,2,0,4,2009,2009,0.0,208300
508,6,1378,2,3,360,3,689,689,2,2,2,7,1928,2005,0.0,161000
509,4,1041,1,3,270,3,1041,1041,3,1,1,6,1959,1959,132.0,124500
510,4,1363,1,2,288,3,1008,1363,3,1,2,6,1951,2000,70.0,164900
511,6,1368,2,2,474,2,1368,1368,2,2,1,6,2005,2006,94.0,202665
512,4,864,2,3,624,3,864,864,3,1,2,5,1958,1958,0.0,129900
513,5,1080,2,3,484,3,1084,1080,3,1,2,5,1983,1983,0.0,134000
514,4,789,1,3,200,3,768,789,3,1,2,5,1926,1950,0.0,96500
516,5,2119,2,3,583,3,689,1378,3,2,1,7,1972,1972,333.0,158000
518,5,1796,2,3,546,2,794,882,3,2,1,7,1998,1998,0.0,211000
519,6,2080,1,2,282,2,1276,1276,2,1,2,9,1926,2004,0.0,234000
521,5,1244,1,3,336,3,1244,1244,3,1,2,6,1957,1957,0.0,150000
522,5,1664,2,3,420,3,1004,1004,3,2,2,7,1947,1950,0.0,159000
525,6,1266,2,2,453,2,1257,1266,2,2,2,6,2005,2005,0.0,176000
526,4,928,1,3,252,2,928,928,3,1,2,4,1956,2000,0.0,132000
528,3,605,0,3,0,3,528,605,3,1,3,5,1920,2002,0.0,86000
530,5,1509,2,2,600,2,1461,1509,2,2,1,5,1988,1989,219.0,175000
531,5,1362,2,3,502,1,611,751,3,2,0,6,1920,1999,0.0,128000
535,4,1347,0,3,0,2,1117,820,3,1,3,5,1910,1991,0.0,107500
536,6,1724,2,3,527,2,880,880,2,2,0,8,1998,1999,0.0,188000
537,3,864,2,3,576,3,864,864,3,1,2,5,1972,1972,0.0,111250
538,4,1159,1,3,336,3,1051,1159,3,1,2,7,1968,1968,188.0,158000
541,7,2285,3,2,648,2,969,997,2,2,0,8,2000,2000,72.0,248000
543,6,767,1,3,367,2,723,767,3,1,0,4,1998,1998,182.0,133000
544,6,1496,2,2,426,2,654,664,2,2,1,7,2006,2006,0.0,179665
545,6,2183,3,2,786,2,1204,1377,2,2,2,9,1988,1988,178.0,229000
546,5,1635,2,3,440,2,1065,915,3,1,2,6,1923,1950,0.0,210000
547,4,768,2,3,624,2,768,768,3,1,2,5,1970,1970,0.0,129500
548,4,825,2,3,720,3,825,825,3,1,1,4,1955,1995,0.0,125000
549,6,2094,2,2,615,2,912,912,2,2,0,8,2003,2004,0.0,263000
550,5,1069,2,3,440,2,1069,1069,3,2,1,4,1977,1977,0.0,140000
551,4,928,1,3,288,3,928,928,3,1,0,5,1957,1957,0.0,112500
554,6,2046,3,2,871,2,998,1006,2,2,1,8,2003,2004,292.0,284000
555,4,1048,1,3,280,3,993,1048,3,1,2,5,1922,1950,0.0,113000
556,4,1092,1,3,299,3,1092,1092,3,1,0,6,1957,1957,0.0,141000
557,3,1336,1,3,570,3,637,897,3,1,2,7,1920,1950,0.0,108000
558,6,1446,2,3,406,2,729,729,3,2,2,6,1996,1997,0.0,175000
559,6,1557,2,2,420,2,1374,1557,2,2,0,7,2003,2004,18.0,234000
560,4,1392,2,3,528,2,1392,1392,3,1,2,5,1957,1996,180.0,121500
561,4,1389,2,3,418,2,1389,1389,3,1,1,6,1974,1975,0.0,170000
562,4,996,0,3,0,3,996,996,3,1,3,6,1940,1969,0.0,108000
563,5,1674,2,3,396,2,1163,1163,3,2,0,8,1918,1950,0.0,185000
564,6,2295,2,2,590,2,1095,1166,2,2,1,9,1992,2000,0.0,268000
565,5,1647,1,3,216,2,806,841,1,1,2,6,1915,1950,0.0,128000
567,6,1535,2,2,532,2,1517,1535,2,2,1,7,2004,2004,168.0,214000
568,7,2132,2,2,612,2,1496,1496,2,1,0,5,1983,2009,0.0,316600
569,4,943,2,3,600,2,943,943,3,1,2,4,1979,1979,0.0,135960
570,4,1728,2,3,576,3,1728,1728,3,2,2,10,1965,1965,108.0,142600
571,5,864,1,3,288,3,864,864,2,1,2,4,1959,1959,207.0,120000
573,6,1430,2,3,400,2,384,774,3,2,1,8,2000,2000,0.0,170000
574,4,1109,1,3,288,3,372,576,3,1,2,5,1971,2005,82.0,139000
575,4,1216,1,3,336,3,832,832,3,1,2,6,1947,1950,0.0,118500
576,6,1477,1,3,216,3,861,877,3,2,2,6,1928,1950,0.0,145000
577,4,1320,2,3,564,3,1164,1320,3,1,1,6,1966,1966,97.0,164500
578,6,1392,2,2,540,2,689,703,2,2,2,5,2007,2007,0.0,146000
579,4,1795,1,3,352,3,1050,1050,3,2,2,7,1954,1954,335.0,131500
580,5,1429,2,3,572,3,1144,1429,2,1,2,7,1960,1987,85.0,181900
582,5,816,0,3,0,2,816,816,3,1,3,5,1990,1990,104.0,118500
584,3,1573,1,3,240,3,884,989,2,1,2,6,1935,1995,0.0,133000
586,5,838,1,3,275,3,816,838,1,1,0,5,1918,2000,0.0,130000
587,4,860,2,3,528,3,840,860,3,1,2,4,1982,1982,0.0,137000
589,4,935,1,3,308,3,742,779,3,1,2,4,1930,1960,0.0,79500
590,6,1582,2,2,520,2,770,770,2,2,1,6,2004,2004,0.0,185900
592,4,816,2,3,816,3,816,816,3,1,0,4,1982,2003,0.0,138000
593,5,848,2,2,420,2,848,848,2,1,0,4,2003,2003,170.0,140000
594,4,924,1,3,280,2,924,924,3,1,2,5,1975,1975,0.0,110000
595,7,1826,3,2,758,2,1814,1826,2,2,0,7,2005,2006,238.0,319000
596,5,1368,1,3,216,3,684,684,3,1,2,7,1910,1993,0.0,114504
599,5,1556,2,3,452,2,716,716,3,2,0,6,1980,1980,0.0,151000
601,5,1375,1,3,544,3,780,780,2,1,2,6,1937,1950,0.0,141000
602,7,1915,2,2,506,2,908,927,2,2,0,8,1992,1992,0.0,220000
603,6,1200,2,2,480,2,600,600,2,2,1,4,2004,2005,0.0,151000
604,6,1494,2,2,530,2,1494,1494,2,2,1,6,2002,2002,99.0,221000
605,6,1986,2,3,486,3,768,1186,3,2,2,7,1965,1990,176.0,205000
606,4,1040,2,3,576,2,1040,1040,2,1,2,6,1996,1996,0.0,152000
609,3,1029,1,3,261,3,1029,1029,3,1,2,5,1961,1961,192.0,118500
611,5,1032,2,3,564,2,1032,1032,3,2,2,6,1978,1978,233.0,148000
613,4,1120,0,3,0,2,1120,1120,3,1,3,6,2007,2007,0.0,147000
614,3,630,0,3,0,2,630,630,3,1,3,3,1972,1972,0.0,75500
615,5,1054,2,3,480,3,936,1054,2,1,1,6,1963,1963,156.0,137500
616,5,1509,2,2,393,2,783,807,2,2,0,7,2002,2003,0.0,183200
617,5,832,2,3,528,3,832,832,2,1,2,4,1954,1954,0.0,105500
619,7,2262,3,2,749,2,1482,1482,2,2,0,10,2003,2003,226.0,305000
620,2,864,0,3,0,3,864,864,3,1,3,5,1914,1950,0.0,67000
621,5,2614,2,3,624,3,1522,1548,3,2,1,9,1974,1997,0.0,240000
622,4,980,2,3,484,3,980,980,3,1,2,6,1977,1977,153.0,135000
624,5,1790,2,3,484,3,732,1012,3,1,1,8,1972,1972,288.0,165150
625,5,1116,2,3,440,3,1116,1116,3,1,2,5,1962,1962,261.0,160000
626,4,1422,1,3,286,3,978,1422,3,1,1,6,1960,1978,0.0,139900
627,5,1520,1,3,364,3,1156,1520,3,1,1,7,1955,1972,164.0,153000
628,4,2080,2,3,504,2,1040,1040,1,1,2,9,1969,1969,192.0,135000
629,5,1350,2,3,520,3,1248,1350,3,1,1,6,1964,1964,259.0,168500
631,7,1554,2,2,627,2,1554,1554,2,2,1,6,2006,2006,108.0,209500
632,6,1411,2,3,544,3,1386,1411,3,2,0,6,1977,1977,209.0,82500
633,4,1056,1,3,260,3,1056,1056,3,1,2,6,1954,2005,0.0,139400
634,5,1056,2,3,576,3,1056,1056,3,0,2,4,1980,1980,0.0,144000
636,1,800,0,1,0,3,264,800,1,1,3,4,1936,1950,0.0,60000
637,4,1387,1,3,256,3,811,811,2,2,2,7,1954,1954,0.0,93000
638,4,796,0,3,0,1,796,796,3,1,3,4,1910,1950,0.0,85000
641,6,1929,2,2,650,2,1057,1057,2,2,0,7,2001,2001,0.0,226000
643,4,1620,2,3,462,3,780,780,3,2,0,7,1969,1969,263.0,152000
645,5,981,2,3,576,3,981,981,3,1,2,5,1971,1971,0.0,143250
647,5,1094,2,3,495,3,1094,1094,3,1,1,5,1953,1953,216.0,155000
648,5,1839,2,3,442,3,756,1051,3,1,2,7,1966,1966,351.0,155000
649,3,630,0,3,0,2,630,630,3,1,3,3,1970,1970,0.0,84500
650,6,1665,2,2,562,2,813,822,2,2,1,7,2007,2007,103.68526170798899,205950
651,3,1510,1,3,296,3,755,755,3,1,2,7,1940,1950,0.0,108000
652,6,1716,2,2,512,2,880,909,2,2,1,7,1996,1996,0.0,191000
653,5,1469,1,3,216,3,756,756,3,1,2,7,1906,1995,0.0,135000
655,5,1092,1,3,264,3,525,525,3,1,2,6,1971,1971,381.0,88000
656,4,1053,1,2,312,3,1053,1053,2,1,1,5,1959,2006,54.0,145500
657,6,1502,1,3,270,2,776,851,3,1,1,6,1931,2000,0.0,149000
658,5,1458,1,3,330,3,912,912,3,1,2,6,1948,1950,0.0,97500
659,4,1486,2,3,480,3,1486,1486,3,1,0,7,1964,1999,0.0,167000
660,6,1935,2,3,550,2,793,1142,3,2,1,7,1976,1976,233.0,197900
662,5,1392,2,3,576,1,1392,1392,3,1,1,5,1968,1968,216.0,110000
663,3,1181,2,3,588,2,1138,1181,3,2,1,6,1972,1972,0.0,137500
665,7,1936,2,2,504,2,1406,1454,2,2,1,7,2000,2000,40.0,230500
666,5,2380,2,3,596,2,1021,1465,3,2,2,7,1965,1979,113.0,129000
667,5,1679,2,3,575,2,1408,1679,2,2,1,7,1994,1998,258.0,193500
668,4,1437,2,3,576,3,1188,1437,3,1,2,6,1956,1987,0.0,168000
669,3,1180,1,3,252,1,700,1180,1,1,2,5,1922,1950,0.0,137500
670,5,1476,2,2,540,2,738,738,2,2,0,7,2005,2005,0.0,173500
671,5,1369,1,3,300,3,672,697,3,2,2,6,1925,1950,0.0,103600
672,5,1208,2,2,546,2,1208,1208,3,1,1,6,1977,1977,0.0,165000
673,5,1839,2,3,416,3,1477,1839,2,2,0,7,1957,2004,106.0,257500
674,5,1136,1,3,384,3,1136,1136,3,1,1,5,1965,1965,0.0,140000
675,5,1441,2,3,440,3,855,855,3,2,2,7,1978,1978,0.0,148500
676,3,1774,3,3,779,3,1095,1095,3,2,2,8,1900,1950,0.0,87000
677,4,792,1,2,240,3,768,792,2,1,2,5,1924,2006,0.0,109500
679,4,988,2,3,572,3,988,988,3,1,2,5,1961,1961,57.0,128500
680,5,923,1,3,264,2,923,923,3,2,1,5,1980,1980,0.0,143000
681,4,1520,1,3,281,3,793,848,3,1,2,6,1932,2000,0.0,159434
682,5,1291,2,3,431,2,1291,1291,2,1,2,6,1996,1997,0.0,173000
683,8,1668,3,2,702,2,1626,1668,2,2,0,7,2002,2002,215.0,285000
684,6,1839,2,2,486,2,1195,1195,3,2,0,7,1998,1998,30.0,221000
685,6,2090,2,2,577,2,1190,1190,2,2,0,6,1984,1984,0.0,207500
686,6,1761,2,2,578,2,874,874,2,3,0,7,2007,2007,0.0,227875
687,6,1102,2,2,480,2,551,551,2,2,2,4,2004,2004,0.0,148800
689,5,1362,2,2,460,2,1362,1362,2,2,1,6,2005,2006,256.0,194700
690,5,848,2,2,420,2,848,848,2,1,1,3,2004,2004,147.0,141000
692,6,2519,2,2,628,2,1210,1238,2,2,1,9,1989,1990,293.0,335000
693,4,1073,1,3,326,3,1073,1073,3,1,2,4,1921,1968,0.0,108480
694,4,1539,2,3,576,3,927,1067,3,1,2,5,1936,1950,0.0,141500
695,5,1137,2,3,551,2,1112,1137,2,2,2,5,1987,1987,72.0,176000
696,4,616,1,3,205,3,616,616,3,1,2,4,1921,1950,0.0,89000
698,4,894,1,3,336,3,894,894,3,1,2,5,1965,2009,0.0,138500
699,6,1391,2,2,530,2,1391,1391,2,2,1,5,2004,2004,0.0,196000
701,6,1164,2,3,528,3,1164,1164,3,1,2,6,1969,1969,168.0,140000
703,4,1812,2,3,672,2,360,1032,2,2,2,8,1900,1996,0.0,140000
704,6,1484,2,2,606,2,1473,1484,2,2,1,7,2004,2005,109.0,213000
706,6,1824,2,3,739,2,1643,1824,2,2,2,5,1971,2002,351.0,302000
707,7,1324,2,2,550,2,1324,1324,2,2,0,6,2006,2006,176.0,254000
708,6,1456,2,2,400,2,728,728,2,2,0,8,2007,2007,0.0,179540
709,4,904,1,3,408,3,876,904,3,1,2,6,1966,1966,41.0,109900
710,2,729,0,2,0,3,270,729,3,1,3,5,1935,2003,0.0,52000
711,3,1178,1,3,384,3,859,859,3,1,1,7,1900,1950,0.0,102776
712,7,1228,2,2,472,2,1228,1228,2,2,0,5,1988,1989,0.0,189000
713,3,960,2,3,576,3,960,960,3,1,2,6,1970,1970,160.0,129000
714,5,1479,2,2,475,3,725,725,2,2,1,6,1976,2005,289.0,130500
715,5,1350,2,3,478,2,1064,1350,3,2,1,7,1974,1974,174.0,165000
716,6,2554,2,3,704,3,718,1576,3,1,2,8,1890,1998,0.0,159500
717,4,1178,2,3,439,2,1176,1178,2,1,2,5,1973,2000,0.0,157000
719,4,971,1,3,300,2,971,971,3,1,2,5,1969,1969,0.0,128500
720,7,1742,2,2,564,2,1742,1742,2,2,1,5,1985,1985,0.0,275000
721,5,848,2,2,420,2,848,848,2,1,1,3,2004,2004,169.0,143000
722,3,864,2,3,463,3,864,864,3,1,2,5,1970,1970,0.0,124500
723,3,1470,1,3,548,3,941,997,3,2,2,7,1954,1972,0.0,135000
725,3,864,2,3,660,3,864,864,2,1,2,5,1970,1970,0.0,120500
726,5,1680,2,2,540,2,880,1680,2,2,0,5,1988,2007,260.0,222000
727,6,1232,2,2,632,2,1232,1232,2,2,1,6,2007,2007,82.0,194500
728,4,1776,3,3,888,3,1584,1776,3,2,2,9,1958,1958,95.0,110000
729,3,1208,2,3,539,3,780,848,3,1,2,5,1925,1950,0.0,103000
730,7,1616,2,2,608,2,1595,1616,2,2,1,5,1995,1996,0.0,236500
732,6,2031,2,2,541,2,1153,1153,2,2,0,8,1998,1999,202.0,222500
733,4,1144,1,3,264,3,864,1144,3,1,1,6,1961,1983,0.0,131400
734,4,948,1,3,300,3,948,948,3,1,2,6,1968,1968,0.0,108000
735,6,1768,2,3,320,2,880,880,3,1,2,6,1914,1970,0.0,163000
737,7,1801,3,2,800,2,893,901,2,2,0,8,2005,2005,0.0,239900
738,4,1200,0,3,0,2,1200,1200,3,3,3,5,1987,1988,0.0,179000
739,6,1728,2,2,572,2,864,864,2,2,1,7,2004,2004,0.0,190000
740,4,1432,2,3,360,1,264,768,3,2,2,7,1910,2002,0.0,132000
741,5,912,1,3,288,3,912,912,2,1,2,5,1961,1996,0.0,142000
742,6,1349,2,3,539,2,1349,1349,3,2,2,6,2000,2001,108.0,179000
743,4,1464,2,3,480,2,520,1464,3,2,1,6,1963,1999,0.0,175000
744,7,1337,2,2,462,2,1337,1337,2,2,1,5,1993,1993,0.0,180000
746,6,2256,2,2,554,2,952,980,2,2,0,8,2000,2000,0.0,236000
748,6,1720,2,2,527,2,1720,1720,2,2,0,7,1996,1996,338.0,260400
750,3,1140,0,3,0,3,576,792,3,1,3,7,1910,2004,0.0,96500
751,6,1320,2,2,400,2,660,660,2,2,0,6,2003,2003,0.0,162000
752,5,1494,2,3,576,2,1479,1494,2,2,1,6,1997,1997,0.0,217000
754,5,1026,2,3,440,3,1026,1026,2,1,1,5,1969,2005,0.0,156000
756,7,1768,2,2,578,2,866,866,2,2,1,7,2007,2007,0.0,212000
757,5,1386,2,3,440,3,672,672,3,2,0,6,1978,1978,328.0,158900
758,6,1501,2,3,440,2,744,757,3,2,2,6,1999,1999,360.0,179400
760,5,864,1,3,300,3,864,864,3,1,2,5,1959,1959,0.0,127500
761,4,1301,2,3,440,3,1145,1301,1,1,2,5,1924,1950,0.0,100000
762,6,1547,2,3,614,2,756,764,2,2,2,7,2009,2009,0.0,215200
766,6,1714,2,3,496,2,980,980,3,2,2,7,1988,1988,42.0,196500
767,5,1750,1,3,423,2,983,983,3,2,2,7,1940,1985,0.0,160000
768,6,1836,2,2,484,2,1860,1836,2,2,0,8,2004,2005,0.0,216837
770,4,858,2,3,576,2,858,858,3,1,2,5,1982,1982,0.0,134900
771,3,1220,2,3,396,1,836,1220,3,1,2,6,1951,1951,0.0,102000
772,5,1117,2,3,672,3,1029,1117,3,1,2,6,1976,1976,0.0,107000
773,4,912,1,3,275,3,912,912,3,1,1,5,1958,1958,1.0,114500
776,6,1614,3,2,865,2,1614,1614,2,2,1,7,2005,2006,240.0,221500
777,4,894,2,3,440,3,864,894,3,1,2,5,1974,1974,0.0,142500
779,5,1004,2,3,504,2,975,1004,3,1,2,4,1977,1977,90.0,135000
780,6,1253,2,3,402,2,1237,1253,3,2,0,6,1995,1996,38.0,176000
781,5,1603,2,2,484,2,761,810,2,2,1,7,1992,1992,0.0,175900
782,6,1430,2,2,605,2,1413,1430,2,2,1,6,2001,2002,0.0,187100
783,4,1110,2,3,602,2,1097,1110,2,1,0,4,1978,1978,104.0,165500
784,5,1484,0,3,0,3,742,742,3,2,3,9,1914,2001,0.0,128000
785,5,1342,2,3,457,3,1372,1342,3,2,2,7,1967,1967,0.0,161500
786,4,1652,1,3,416,1,686,966,3,2,2,7,1915,1950,0.0,139000
787,6,2084,2,2,618,2,956,956,2,2,1,8,2004,2004,0.0,233000
788,3,901,1,3,281,3,901,901,3,1,2,4,1954,2000,0.0,107900
789,5,2087,2,3,444,3,832,976,2,2,0,9,1966,2007,157.0,187500
790,6,1145,2,2,397,2,1145,1145,2,2,0,5,2005,2006,11.0,160200
791,5,1062,2,3,539,2,1029,1062,3,1,1,5,1976,1976,0.0,146800
792,6,2013,2,2,455,2,1117,1127,3,2,2,8,1996,1997,0.0,269790
793,7,1496,2,2,474,2,1496,1496,2,2,0,7,2007,2007,140.0,225000
794,6,1895,2,2,409,2,712,1086,2,2,0,7,1994,1996,0.0,194500
795,5,1564,2,3,476,2,650,888,3,2,2,7,1980,1981,130.0,171000
796,5,1285,2,3,528,3,660,1285,3,1,1,7,1977,1977,148.0,143500
797,4,773,1,3,240,3,773,773,3,1,2,4,1953,1953,0.0,110000
799,4,1768,1,3,240,2,731,981,2,1,2,7,1937,1950,252.0,175000
800,5,1688,2,3,603,2,616,616,2,2,1,8,1997,1997,0.0,200000
801,3,1196,2,3,440,3,1196,1196,3,1,2,5,1916,1990,0.0,109900
802,6,1456,2,2,410,2,728,728,2,2,0,7,2005,2005,0.0,189000
804,4,1128,1,3,286,3,936,1128,3,1,2,5,1954,1954,0.0,118000
806,4,980,1,3,384,3,980,980,3,2,0,6,1967,1967,0.0,135500
807,4,1576,2,3,528,3,1324,1072,2,1,1,6,1923,2004,0.0,223500
810,5,1309,2,3,484,3,1040,1309,2,1,1,5,1974,1999,99.0,181000
811,5,848,2,2,420,2,848,848,2,1,0,4,2004,2004,169.0,144500
812,4,1044,2,1,504,3,540,1044,1,1,2,4,1952,1952,0.0,55993
813,5,1442,1,3,301,3,1442,1442,3,1,1,7,1958,1958,243.0,157900
814,4,1250,1,3,280,3,686,686,1,1,2,7,1918,1950,0.0,116000
816,4,1008,1,3,275,3,1008,1008,3,1,1,4,1954,1954,0.0,137000
817,7,1689,3,2,857,2,1568,1689,2,2,1,7,2002,2002,148.0,271000
818,5,1052,2,3,440,3,1010,1052,3,1,2,6,1971,1971,80.0,155000
819,6,1358,2,2,484,2,1358,1358,2,2,1,6,2009,2010,128.0,224000
820,6,1640,2,2,595,2,798,798,2,2,1,6,2003,2003,0.0,183000
821,3,936,2,1,576,1,936,936,3,1,2,4,1953,1953,0.0,93000
822,6,1733,2,2,433,2,847,847,2,2,0,7,2003,2003,0.0,225000
823,5,1489,1,3,240,3,778,944,3,2,2,7,1940,1950,0.0,139500
824,7,1489,2,2,776,2,1489,1489,2,2,1,7,2006,2006,0.0,232600
826,4,784,0,3,0,3,784,784,2,1,3,5,1924,1950,0.0,109500
827,6,1434,2,2,527,2,1454,1434,2,2,1,6,2001,2001,0.0,189000
828,4,2126,2,3,538,3,1013,1160,3,2,0,7,1967,1967,0.0,185000
829,6,1223,2,2,480,2,600,520,2,2,1,4,2005,2005,0.0,147400
830,5,1392,2,3,458,3,1392,1392,3,1,1,6,1957,1957,387.0,166000
831,6,1200,2,3,480,2,600,520,2,2,1,4,2005,2005,0.0,151000
832,6,1829,2,2,613,2,941,941,2,2,1,7,2003,2003,223.0,237000
833,5,1516,2,3,472,3,1516,1516,3,1,1,6,1964,1964,180.0,167000
834,4,1144,2,3,456,3,1144,1144,3,1,2,6,1961,1961,136.0,139950
835,3,1067,2,3,436,2,1067,1067,2,2,2,4,1950,1995,0.0,128000
836,4,1559,2,3,812,3,1559,1559,3,1,2,5,1948,1973,0.0,153500
837,5,987,1,3,264,3,483,483,3,1,2,5,1973,1973,158.0,100000
838,4,1099,1,3,352,2,1099,1099,2,1,2,6,1995,2006,0.0,144000
839,4,1200,1,3,240,3,768,768,3,1,2,6,1946,1995,0.0,130500
840,5,1482,1,3,400,3,672,810,1,2,2,7,1925,1950,0.0,140000
841,4,1539,2,3,686,3,650,958,2,2,2,8,1904,2002,0.0,157500
842,5,1165,2,3,490,3,1127,1165,3,1,1,6,1966,1966,183.0,174900
843,4,1800,0,3,0,3,1800,1800,3,2,3,10,1961,1961,0.0,141000
844,4,1416,3,3,720,3,876,876,3,1,2,7,1915,1950,0.0,153900
845,4,1701,2,3,611,2,1390,1701,3,2,0,6,1975,1981,0.0,171000
846,6,1775,2,2,425,2,740,1006,2,2,2,7,1993,1993,137.0,213000
847,4,864,1,3,338,3,864,864,3,1,2,5,1972,1972,0.0,133500
848,5,2358,2,3,360,3,907,1307,3,3,2,10,1908,1997,0.0,240000
849,5,1855,2,2,512,3,528,1094,3,2,1,7,1976,1994,360.0,187000
850,5,848,2,2,420,2,848,848,2,1,0,3,2003,2003,170.0,131500
851,7,1456,2,2,400,2,1273,1456,2,2,0,7,2003,2003,40.0,215000
852,6,1646,1,3,240,3,918,918,3,2,2,7,1941,1950,0.0,164000
853,5,1445,2,3,645,3,1127,1445,3,1,1,7,1964,1964,115.0,158000
854,4,1779,2,3,454,3,1763,1779,3,1,2,6,1955,1974,0.0,170000
855,4,1040,1,3,260,3,1040,1040,3,1,2,6,1962,2010,0.0,127000
856,5,1026,2,3,576,2,940,1026,3,1,2,5,1978,1978,0.0,147000
